matchNum,duration,timeStamp,mapName,modeName,t1_id,t1_name,t1_color,t1_score,t2_id,t2_name,t2_color,t2_score,playerName,playerTeamId,playerTimePlayed,playerOutcome,playerPlacement,playerTypeInt,playerScore,playerPersonalScore,playerRoundsWon,playerRoundsLost,playerRoundsTied,playerKills,playerDeaths,playerAssists,playerKDA,playerKDRatio,playerBetrayals,playerGrenadeKills,playerHeadshotKills,playerMeleeKills,playerPowerWeaponKills,playerShotsFired,playerShotsHit,playerAccuracy,playerDamageDealt,playerDamageTaken,playerCalloutAssists,playerVehicleDestroys,playerDriverAssists,playerHijacks,playerEmpAssists,playerMaxKillingSpree,rating,flagCaptureAssists,flagCaptures,flagCarriersKilled,flagGrabs,flagReturnersKilled,flagReturns,flagSecures,flagSteals,killsAsFlagCarrier,killsAsFlagReturner,timeAsFlagCarrier,killsAsSkullCarrier,longestTimeAsSkullCarrier,skullCarriersKilled,skullGrabs,timeAsSkullCarrier,skullScoringTicks
13,533.7048369,2021-12-30T05:54:22.979+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,45,Nick vwp,0,533.671,Win,1,1,14,1550,1,0,0,14,14,3,1,1,0,1,9,1,1,390,219,56.15,3979,4100,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
13,533.7048369,2021-12-30T05:54:22.979+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,45,Rayne 1g,0,533.671,Win,2,1,13,1750,1,0,0,13,10,9,6,1.3,0,1,11,0,0,444,219,49.32,3893,4070,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,
13,533.7048369,2021-12-30T05:54:22.979+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,45,Gilkey,1,533.671,Loss,5,1,14,1510,0,1,0,14,11,2,3,1.272727273,0,0,11,1,1,462,243,52.59,4269,3559,1,0,0,0,0,4,,,,,,,,,,,,,,,,,,
13,533.7048369,2021-12-30T05:54:22.979+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,45,Sparty McFIy,0,533.671,Win,4,1,10,1450,1,0,0,10,13,9,0,0.769230769,0,1,4,4,0,340,212,62.35,3980,4497,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
13,533.7048369,2021-12-30T05:54:22.979+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,45,Str8 SicK CS,1,533.671,Loss,7,1,10,1350,0,1,0,10,13,7,-1,0.769230769,0,2,7,0,0,371,200,53.9,4085,4329,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
13,533.7048369,2021-12-30T05:54:22.979+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,45,RyaNoob Nerds,0,533.671,Win,2,1,13,1650,1,0,0,13,8,7,7,1.625,0,1,6,2,1,538,274,50.92,4266,3871,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,
13,533.7048369,2021-12-30T05:54:22.979+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,45,Player309290,1,533.671,Loss,8,1,8,1200,0,1,0,8,15,8,-5,0.533333333,0,0,3,0,3,376,165,43.88,3073,4588,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
13,533.7048369,2021-12-30T05:54:22.979+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,45,Woopyloopy2450,1,533.671,Loss,6,1,13,1550,0,1,0,13,11,5,3,1.181818182,0,0,7,2,1,319,168,52.66,4778,3749,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
12,771.8048664,2021-12-30T05:44:26.146+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,135,Nick vwp,0,764.219,Win,3,1,39,3320,2,0,0,26,18,7,10,1.444444444,0,1,12,4,3,546,311,56.95,6505,5510,0,0,0,0,0,4,,,,,,,,,,,,,1,0:00:13,0,4,0:00:44,39
12,771.8048664,2021-12-30T05:44:26.146+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,135,Rayne 1g,0,764.219,Win,2,1,64,3060,2,0,0,21,14,8,9,1.5,0,1,11,1,0,635,290,45.66,5406,5022,0,0,0,0,0,5,,,,,,,,,,,,,0,00:22.9,0,0,01:09.6,64
12,771.8048664,2021-12-30T05:44:26.146+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,135,Gilkey,1,764.219,Loss,8,1,20,2040,0,2,0,14,16,9,1,0.875,0,1,10,3,0,680,311,45.73,5623,5759,0,0,0,0,0,3,,,,,,,,,,,,,0,0:00:07,0,1,00:22.8,20
12,771.8048664,2021-12-30T05:44:26.146+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,135,Sparty McFIy,0,764.219,Win,4,1,27,2695,2,0,0,21,17,8,6,1.235294118,0,3,12,3,0,471,277,58.81,6053,6633,0,0,0,0,0,5,,,,,,,,,,,,,0,00:26.8,1,0,00:27.8,27
12,771.8048664,2021-12-30T05:44:26.146+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,135,Str8 SicK CS,1,764.219,Loss,7,1,28,3380,0,2,0,26,19,9,10,1.368421053,0,1,13,4,1,506,313,61.85,6276,5587,0,0,0,0,0,5,,,,,,,,,,,,,0,00:18.1,4,0,00:30.9,28
12,771.8048664,2021-12-30T05:44:26.146+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,135,RyaNoob Nerds,0,764.219,Win,1,1,70,2290,2,0,0,10,23,13,-9,0.434782609,0,0,6,2,0,562,288,51.24,4865,6692,0,0,0,0,0,3,,,,,,,,,,,,,0,00:17.5,0,2,01:16.2,70
12,771.8048664,2021-12-30T05:44:26.146+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,135,Player309290,1,764.219,Loss,5,1,54,2750,0,2,0,16,23,12,-3,0.695652174,0,0,12,2,1,507,288,56.8,5651,6381,0,0,0,0,0,3,,,,,,,,,,,,,0,00:37.8,2,1,00:58.7,54
12,771.8048664,2021-12-30T05:44:26.146+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,135,Woopyloopy2450,1,764.219,Loss,6,1,33,2120,0,2,0,15,20,7,-3,0.75,0,0,12,1,0,584,326,55.82,5788,5607,0,0,0,0,0,5,,,,,,,,,,,,,0,0:00:18,0,0,00:33.9,33
11,557.279234,2021-12-30T05:30:22.595+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,46,Nick vwp,0,557.266,Win,1,1,15,1700,1,0,0,15,14,4,2,1.071428571,0,0,11,0,3,540,216,40,4172,5097,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,
11,557.279234,2021-12-30T05:30:22.595+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,46,Rayne 1g,0,557.266,Win,3,1,12,1650,1,0,0,12,8,9,7,1.5,0,0,10,2,0,365,195,53.42,4011,3286,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
11,557.279234,2021-12-30T05:30:22.595+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,46,Gilkey,1,557.266,Loss,8,1,9,1150,0,1,0,9,8,5,2,1.125,0,0,8,1,0,390,200,51.28,3656,3318,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
11,557.279234,2021-12-30T05:30:22.595+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,46,Sparty McFIy,0,557.266,Win,4,1,9,1350,1,0,0,9,12,9,0,0.75,0,1,6,1,0,340,188,55.29,3377,3854,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
